vendor_id,dropoff_datetime,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,tip_amount,tolls_amount,imp_surcharge,total_amount
2,2017-01-01 23:38:44+00:00,Standard rate,1,0.76,Credit Card,5.0,0.5,0.0,0.0,0.3,6.3
2,2017-01-01 23:34:56+00:00,Standard rate,1,0.21,Cash,3.5,0.5,0.0,0.0,0.3,4.8
2,2017-01-01 23:31:54+00:00,Standard rate,5,5.46,Cash,17.5,0.5,0.0,0.0,0.3,18.8
2,2017-01-01 23:31:09+00:00,Standard rate,2,2.92,Cash,15.0,0.5,0.0,0.0,0.3,16.3
2,2017-01-01 23:30:08+00:00,Standard rate,1,1.71,Credit Card,7.0,0.5,1.24,0.0,0.3,9.54
2,2017-01-01 23:24:56+00:00,Standard rate,4,1.59,Cash,7.5,0.5,0.0,0.0,0.3,8.8
2,2017-01-01 23:23:01+00:00,Standard rate,1,1.52,Cash,8.5,0.5,0.0,0.0,0.3,9.8
2,2017-01-01 23:21:16+00:00,JFK,1,18.41,Credit Card,52.0,0.0,0.0,5.54,0.3,58.34
2,2017-01-01 23:20:40+00:00,Standard rate,1,12.44,Cash,36.5,0.5,0.0,0.0,0.3,37.8
2,2017-01-01 23:17:32+00:00,Standard rate,2,4.59,Credit Card,15.5,0.5,3.36,0.0,0.3,20.16
2,2017-01-01 23:14:39+00:00,Standard rate,1,0.61,Cash,5.5,0.5,0.0,0.0,0.3,6.8
2,2017-01-01 23:13:52+00:00,Standard rate,1,9.92,Credit Card,30.5,0.5,3.18,0.0,0.3,34.98
2,2017-01-01 23:13:18+00:00,Standard rate,2,4.35,Cash,17.5,0.5,0.0,0.0,0.3,18.8
2,2017-01-01 23:13:02+00:00,Standard rate,1,1.52,Cash,8.5,0.5,0.0,0.0,0.3,9.8
2,2017-01-01 23:11:11+00:00,Standard rate,3,12.84,Credit Card,37.5,0.5,7.76,0.0,0.3,46.56
2,2017-01-01 23:11:03+00:00,Standard rate,5,1.79,Credit Card,7.0,0.5,1.24,0.0,0.3,9.54
2,2017-01-01 23:05:46+00:00,Standard rate,5,1.92,Cash,9.5,0.5,0.0,0.0,0.3,10.8
2,2017-01-01 23:02:59+00:00,Standard rate,1,1.88,Credit Card,10.0,0.5,0.0,0.0,0.3,11.3
2,2017-01-01 23:02:48+00:00,Standard rate,3,1.05,Cash,11.0,0.5,0.0,0.0,0.3,12.3
2,2017-01-01 23:00:48+00:00,Standard rate,2,0.73,Cash,7.0,0.5,0.0,0.0,0.3,8.3
2,2017-01-01 23:00:42+00:00,Standard rate,4,0.35,Cash,3.5,0.5,0.0,0.0,0.3,4.8
2,2017-01-01 23:00:19+00:00,Standard rate,1,0.6,Credit Card,5.0,0.5,0.0,0.0,0.3,6.3
2,2017-01-01 23:00:17+00:00,Standard rate,1,1.28,Credit Card,7.0,0.5,0.0,0.0,0.3,8.3
2,2017-01-01 22:59:42+00:00,Standard rate,1,1.3,Cash,7.0,0.5,0.0,0.0,0.3,8.3
2,2017-01-01 22:55:59+00:00,Standard rate,2,0.87,Credit Card,7.5,0.5,3.96,0.0,0.3,12.76
2,2017-01-01 22:49:49+00:00,Standard rate,2,1.79,Cash,8.0,0.5,0.0,0.0,0.3,9.3
2,2017-01-01 22:49:02+00:00,Standard rate,1,2.22,Credit Card,9.5,0.5,2.7,0.0,0.3,13.5
2,2017-01-01 22:45:25+00:00,Standard rate,6,3.59,Credit Card,15.5,0.5,1.68,0.0,0.3,18.48
2,2017-01-01 22:40:42+00:00,Standard rate,1,1.09,Credit Card,6.5,0.5,1.56,0.0,0.3,9.36
2,2017-01-01 22:39:27+00:00,Standard rate,1,3.43,Cash,15.0,0.5,0.0,0.0,0.3,16.3
2,2017-01-01 22:30:41+00:00,Standard rate,1,1.23,Credit Card,9.5,0.5,0.0,0.0,0.3,10.8
2,2017-01-01 22:29:32+00:00,Standard rate,1,1.68,Cash,8.0,0.5,0.0,0.0,0.3,9.3
2,2017-01-01 22:26:18+00:00,Standard rate,1,0.79,Credit Card,5.5,0.5,0.0,0.0,0.3,6.8
2,2017-01-01 22:24:36+00:00,Standard rate,1,5.58,Credit Card,26.5,0.5,0.0,0.0,0.3,27.8
2,2017-01-01 22:23:28+00:00,Standard rate,1,0.35,Cash,4.0,0.5,0.0,0.0,0.3,5.3
2,2017-01-01 22:22:30+00:00,Standard rate,1,2.04,Cash,11.0,0.5,0.0,0.0,0.3,12.3
2,2017-01-01 22:22:27+00:00,Standard rate,1,1.34,Credit Card,7.0,0.5,0.0,0.0,0.3,8.3
2,2017-01-01 22:22:09+00:00,Standard rate,3,2.63,Cash,11.5,0.5,0.0,0.0,0.3,12.8
2,2017-01-01 22:20:21+00:00,Standard rate,2,10.96,Cash,35.0,0.5,0.0,5.54,0.3,41.84
2,2017-01-01 22:20:02+00:00,Standard rate,3,3.16,Cash,15.0,0.5,0.0,0.0,0.3,16.3
2,2017-01-01 22:19:45+00:00,Standard rate,5,1.45,Cash,11.0,0.5,0.0,0.0,0.3,12.3
2,2017-01-01 22:19:01+00:00,Standard rate,1,0.56,Credit Card,5.5,0.5,1.02,0.0,0.3,7.82
2,2017-01-01 22:18:03+00:00,Standard rate,2,0.99,Credit Card,7.0,0.5,1.24,0.0,0.3,9.54
2,2017-01-01 22:17:42+00:00,Standard rate,1,1.6,Credit Card,8.5,0.5,1.47,0.0,0.3,11.27
2,2017-01-01 22:13:08+00:00,Standard rate,5,1.36,Credit Card,8.0,0.5,0.0,0.0,0.3,9.3
2,2017-01-01 22:10:20+00:00,Standard rate,3,2.92,Credit Card,11.0,0.5,0.0,0.0,0.3,12.3
2,2017-01-01 22:09:45+00:00,Standard rate,5,2.53,Credit Card,15.5,0.5,2.52,0.0,0.3,19.32
2,2017-01-01 22:08:26+00:00,Standard rate,1,0.63,Credit Card,5.5,0.5,0.68,0.0,0.3,7.48
2,2017-01-01 22:06:22+00:00,Standard rate,1,2.22,Credit Card,11.5,0.5,0.0,0.0,0.3,12.8
2,2017-01-01 22:03:23+00:00,Standard rate,1,2.71,Credit Card,12.5,0.5,0.0,0.0,0.3,13.8
2,2017-01-01 21:55:32+00:00,Standard rate,1,0.37,Cash,5.0,0.5,0.0,0.0,0.3,6.3
2,2017-01-01 21:55:23+00:00,Standard rate,1,0.58,Cash,6.0,0.5,0.0,0.0,0.3,7.3
2,2017-01-01 21:55:15+00:00,Standard rate,2,1.3,Credit Card,7.0,0.5,2.08,0.0,0.3,10.38
2,2017-01-01 21:55:07+00:00,Standard rate,1,1.92,Cash,8.5,0.5,0.0,0.0,0.3,9.8
2,2017-01-01 21:54:15+00:00,Standard rate,1,2.99,Cash,16.0,0.5,0.0,0.0,0.3,17.3
2,2017-01-01 21:53:11+00:00,Standard rate,5,2.94,Credit Card,14.0,0.5,0.0,0.0,0.3,15.3
2,2017-01-01 21:51:21+00:00,Standard rate,2,0.75,Cash,5.0,0.5,0.0,0.0,0.3,6.3
2,2017-01-01 21:50:55+00:00,Standard rate,5,19.84,Credit Card,53.5,0.5,6.03,5.54,0.3,66.37
2,2017-01-01 21:50:24+00:00,Standard rate,1,2.2,Cash,13.5,0.5,0.0,0.0,0.3,14.8
2,2017-01-01 21:49:37+00:00,Standard rate,2,2.84,Cash,12.0,0.5,0.0,0.0,0.3,13.3
2,2017-01-01 21:49:24+00:00,Standard rate,1,4.73,Credit Card,17.5,0.5,2.82,0.0,0.3,21.62
2,2017-01-01 21:47:53+00:00,Standard rate,5,0.83,Cash,4.5,0.5,0.0,0.0,0.3,5.8
2,2017-01-01 21:41:55+00:00,Standard rate,2,2.04,Cash,8.5,0.5,0.0,0.0,0.3,9.8
2,2017-01-01 21:39:11+00:00,Standard rate,2,3.3,Credit Card,16.0,0.5,1.73,0.0,0.3,19.03
2,2017-01-01 21:37:21+00:00,Standard rate,1,1.05,Cash,6.5,0.5,0.0,0.0,0.3,7.8
2,2017-01-01 21:36:11+00:00,Standard rate,2,2.69,Cash,12.5,0.5,0.0,0.0,0.3,13.8
2,2017-01-01 21:35:36+00:00,Standard rate,1,0.74,Cash,4.5,0.5,0.0,0.0,0.3,5.8
2,2017-01-01 21:33:24+00:00,Standard rate,1,2.34,Credit Card,12.5,0.5,0.69,0.0,0.3,14.49
2,2017-01-01 21:31:35+00:00,Standard rate,1,0.95,Cash,6.0,0.5,0.0,0.0,0.3,7.3
2,2017-01-01 21:31:22+00:00,Standard rate,2,2.97,Credit Card,12.5,0.5,2.76,0.0,0.3,16.56
2,2017-01-01 21:26:13+00:00,Standard rate,1,9.68,Cash,30.0,0.5,0.0,0.0,0.3,31.3
2,2017-01-01 21:24:19+00:00,Standard rate,1,1.25,Credit Card,9.0,0.5,1.54,0.0,0.3,11.84
2,2017-01-01 21:21:49+00:00,Standard rate,6,4.14,Cash,16.5,0.5,0.0,0.0,0.3,17.8
2,2017-01-01 21:21:09+00:00,Standard rate,5,6.02,Credit Card,20.0,0.5,4.26,0.0,0.3,27.51
2,2017-01-01 21:16:33+00:00,Standard rate,1,0.04,Cash,5.5,0.5,0.0,0.0,0.3,6.8
2,2017-01-01 21:13:15+00:00,Standard rate,1,0.69,Cash,5.0,0.5,0.0,0.0,0.3,6.3
2,2017-01-01 21:12:15+00:00,Standard rate,1,0.95,Cash,5.5,0.5,0.0,0.0,0.3,6.8
2,2017-01-01 21:10:56+00:00,Standard rate,5,1.01,Cash,6.0,0.5,0.0,0.0,0.3,7.3
2,2017-01-01 21:10:56+00:00,Standard rate,5,6.03,Credit Card,20.5,0.5,2.18,0.0,0.3,23.98
2,2017-01-01 21:08:17+00:00,Standard rate,6,1.34,Credit Card,7.5,0.5,1.76,0.0,0.3,10.56
2,2017-01-01 20:55:10+00:00,Standard rate,6,2.17,Credit Card,9.0,0.5,1.03,0.0,0.3,11.33
2,2017-01-01 20:52:16+00:00,Standard rate,1,1.44,Cash,8.5,0.5,0.0,0.0,0.3,9.8
2,2017-01-01 20:51:31+00:00,Standard rate,3,0.5,Cash,3.5,0.5,0.0,0.0,0.3,4.8
2,2017-01-01 20:50:13+00:00,Standard rate,2,0.99,Credit Card,6.0,0.5,1.82,0.0,0.3,9.12
2,2017-01-01 20:47:50+00:00,Standard rate,1,10.7,Credit Card,37.0,0.5,0.0,0.0,0.3,38.3
2,2017-01-01 20:40:21+00:00,Standard rate,6,1.62,Credit Card,7.5,0.5,2.64,0.0,0.3,11.44
2,2017-01-01 20:35:30+00:00,Standard rate,5,3.07,Credit Card,12.5,0.5,0.0,0.0,0.3,13.8
2,2017-01-01 20:33:43+00:00,Standard rate,1,1.27,Credit Card,5.5,0.5,1.7,0.0,0.3,8.5
2,2017-01-01 20:29:11+00:00,Standard rate,1,3.92,Credit Card,15.0,0.5,3.26,0.0,0.3,19.56
2,2017-01-01 20:25:05+00:00,Standard rate,1,0.91,Cash,5.5,0.5,0.0,0.0,0.3,6.8
